;quote;author;book;category
11876;You are so much more than your mistakes.;Bryant McGill; Simple Reminders: Inspiration for Living Your Best Life;philosophy
1978;Violence can read like poetry. You just have to describe the act as if you’re in love with the way your characters bleed.;F.K. Preston; The Artist, The Audience and a Man Called Nothing;philosophy
7679;There is only one thing which is generally safe from plagiarism -- self-denial.;G.K. Chesterton; The Collected Works of G.K. Chesterton Volume 29: The Illustrated London News, 1911-1913;philosophy
10219;If you watch great things, you empower your thought greatly. They that do great things do not only look but they see.;Ernest Agyemang Yeboah; The Untapped Wonderer in You: Dare to Do the Undone;philosophy
2826;Whom the society deems worthless, once they discover their special inclination, it will change the very course of their lives as well as the shape of the very society that distastes them.;Abhijit Naskar; The Education Decree;philosophy
10074;Faith is the flame that eliminates fear, and faith is the emperor of dreams.;Suzy Kassem; Rise Up and Salute the Sun: The Writings of Suzy Kassem;philosophy
9390;Healthy life is a sacred being.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
3507;We are all capable of being great dreamers. We must awaken the divinity within us.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;philosophy
5366;My confidence is in the idea that I may be wrong on this or that. No man in this life should ever have to bear the burden of perfection.;Criss Jami; Healology;philosophy
4150;Grace abounds for everyday life.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;philosophy
6323;Justice being taken away, then, what are kingdoms but great robberies? For what are robberies themselves, but little kingdoms?;Augustine of Hippo; City of God;philosophy
3081;Do what you love and the rest will come.;Romi Grossberg; The 5-Minute Guide to Emotional Intelligence: Your Journey Your Journal;philosophy
7879;Let’s face it, life is trivial, and my guess is that dying imparts very little wisdom on those in process.;Sue Grafton; I is for Innocent;philosophy
3977;Solitude, the joy of being alone, stems from, as well as promotes, a state of maturity and inner richness.;Neel Burton; Heaven and Hell: The Psychology of the Emotions;philosophy
10356;Definitions from Mulla Do-PiazaWisdom: Something you can learn without knowing it.;Idries Shah; Caravan of Dreams;philosophy
5155;The greatest foe of human is his mighty wisdom.;Chandrashekar; Paradise of Fantasies;philosophy
3093;The spark of divinity enfolds in love, in light and in faith.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;philosophy
10050;if you expose the wrong then also preserve the right.you are d salt of d earth;Ikechukwu Joseph; Knowledge, Understanding, Wisdom: the tripartite force in the pursuit of Divine Access;philosophy
5494;The only creative force capable of causally revising your experienced reality is your power to change your Self.;Thomas Daniel Nehrer; Essence of Reality: A Clear Awareness of How Life Works;philosophy
10269;the greatest asset one may be able to possess is a great mind;Ernest Agyemang Yeboah; Distinctive Footprints of Life: Where Are You Heading Towards?;philosophy
5581;Do you know, by the way, that German is the only language in the world that has a word for ‘pleasure derived from the misfortune of others’? Schadenfreude.;John Dolan; Everyone Burns;philosophy
5496;It must be obvious that the Reality we all encounter only works one way, and it functions that way regardless of what the experiencer believes.;Thomas Daniel Nehrer; Essence of Reality: A Clear Awareness of How Life Works;philosophy
5814;Obsoletes and absolutes are the stock in trade of religions that place their faith in an 'unchanging' god while faced with the reality of an ever-changing world.;Stifyn Emrys; Requiem for a Phantom God;philosophy
8868;Into the day as by dream I swim To the music of nourished meaning.;Dejan Stojanovic; Circling: 1978-1987;philosophy
5063;But this time is ours, and we cannot live hating ourselves;Albert Camus; The Myth of Sisyphus and Other Essays;philosophy
12157;And, to be true, an enemy's lair is an enemy's lair, no matter how comfortable or fancy it might appear.;Steven J. Carroll; A Prince of Earth;philosophy
3201;"IF you want to be a winner than follow one simple rule and feed it in your mind. Take each task and work as "" Do it yourself project.";Abhysheq Shukla;" KISS Life  ""Life is what you make it""";philosophy
10301;We all die one day, but jewels never fade or perish. Through our children we live. That’s how we cheat death.;Diane Samuels; Kindertransport: A Drama;philosophy
6493;Utopia never really is. And the perfection we seek will always disappoint.;Daniel Xiao Wang; Lucid Nightmares;philosophy
7649;It is not Sufism if it does not perform its function for you. A cloak is no longer a cloak if it does not keep a man warm.;Idries Shah; Thinkers of the East;philosophy
3846;Embrace the love of your life.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
9500;You cannot tell how it is, until you experience it.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
1221;"Good man and bad man with money goes a long ways."" ~ Amunhotep El Bey";Amunhotep El Bey; The Quotations Book of life and Death;philosophy
10757;The light in your soul can illuminate any darkness.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
7856;In hindsight, events seem logical;Don Norman; The Design of Everyday Things;philosophy
6670;Ideas that require people to reorganize their picture of the world provoke hostility.;James Gleick; Chaos: Making a New Science;philosophy
4180;Write it as you see in your own perspective, you may be right or wrong but then what, that's how you see it;Bangambiki Habyarimana; Pearls Of Eternity;philosophy
3285;God is spirit. The spirit dwells in a body. We are the Holy temple.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
1390;Myslím, že na místa, kde se odvíjely rozhodující události našich životů, stojí za to občas zavítat, abychom zjistili: nemáme sami se sebou nic společného.;Imre Kertész; Yo, Otro. Crónica del Cambio;philosophy
10936;"Let's stop discussing about who a wise person is and start learning to become wise persons. Begin acquiring knowledge at the very moment you discover that there is something called ""knowledge""!";Israelmore Ayivor; The Great Hand Book of Quotes;philosophy
2005;After all, what is education, if not the unparalleled means to transcend the self- imposed physical limits of the mind and the body.;Abhijit Naskar; The Education Decree;philosophy
1277;We belittle what we cannot bear. We make figments out of fundamentals, all in the name of preserving our own peculiar fancies. The best way to secure one's own deception is to accuse others of deceit.;R. Scott Bakker; The White Luck Warrior;philosophy
7141;Mum liked to say that some things happen for a reason, that sometimes obstacles were there to stop you from doing something stupid.;Maggie Stiefvater; The Scorpio Races;philosophy
7939;If there was one thing I knew, it was that our demons were what shaped who we were. The things we do, the way we act, are all driven by the things we want locked away forever.;Barbara C. Doyle; A Hard Place to Breathe;philosophy
8200;It’s easy to play the victim card (all of us have done this), but this mindset is one of the greatest obstacles to progress and growth.;Mensah Oteh; Wisdom Keys In Words: A collection of the Inspirational words that will change your life;philosophy
9187;We live in everyone. I live in you. You live in me. There is no gap, no distance.;Amit Ray; Enlightenment Step by Step;philosophy
6860;When we suspect that we are appropriate targets for hurt, it does not take much for us to believe that someone or something is out to hurt us;Alain de Botton; The Consolations of Philosophy;philosophy
6882;If you're reading this...Congratulations, you're alive.If that's not something to smile about,then I don't know what is.;Chad Sugg; Monsters Under Your Head;philosophy
10227;"The line between the allure of liberty and the menace of of anarchy is often blurred."" From: Caspian Diary";J.M. Sandler; Caspian Diary;philosophy
8402;Women are no sheep.;Abhijit Naskar; The Bengal Tigress: A Treatise on Gender Equality;philosophy
4661;With time one ages, and with age one comes closer to their end. With time one builds a family, a house, a name and with age one learns to live without them.;Mrinalini Mitra; Belief;philosophy
7092;"But that's how memory works,"" Bitterblue said quietly. ""Things disappear without your permission, then come back again without your permission."" And sometimes they came back incomplete and warped.";Kristin Cashore; Bitterblue;philosophy
6640;Quality is a flying goal, always fight to achieve;Haruni Machumu; The Growing Impetus of Community Secondary Schools in Tanzania: Quality concern is debatable;philosophy
11040;Spread LOVE and KINDNESS wherever you go. Then you can be sure you are never far from it!;Molly Friedenfeld; The Book of Simple Human Truths;philosophy
1468;We all have to share this world. The best way to do that is to be nice to each other.;Jessica Marie Baumgartner; The Golden Rule;philosophy
11900;A Sufi is one who is not bound by anything nor does he bind anything;Idries Shah; Seeker After Truth;philosophy
12438;Sometimes, situation may be uncomfortable but must endure.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
1627;Fear is a basic human instinct and an indicator of the gravity of a situation. It becomes an asset if it is effectively controlled. It becomes a weakness for a man if he lets it prevail over him.;Janvier Chouteu-Chando; Disciples of Fortune;philosophy
7810;You have your own problems right now, Zenik, said a voice in her head. Stop worrying about saving the world and save your own ass. Sometimes her inner voice could be very wise.;Leigh Bardugo; Crooked Kingdom;philosophy
3496;The greed of power drowns our ethics.;Henry Johnson Jr; Liberian Son;philosophy
12114;The key to wisdom is doubt!;Marjane Satrapi; Chicken with Plums;philosophy
8190;To achieve success, you need to develop the ability to see through your mind’s eye continuously.;Mensah Oteh; Wisdom Keys In Words: A collection of the Inspirational words that will change your life;philosophy
936;If the world was made for us, then it BELONGS to us and we can do what we damn well please with it.;Daniel Quinn; Ishmael;philosophy
3287;I will finish what I have began.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
4338;There’s been terrible things we seen, en’t there? And more a coming, more’n likely. So I think I’d rather not know what’s in the future. I’ll stick to the present.;Philip Pullman; The Golden Compass;philosophy
11710;Young people have many pleasures and many sorrows, because they have only themselves to think of.;Hermann Hesse; Gertrude;philosophy
7085;Sometimes you weren't supposed to share pain. Sometimes it was best just to deal with it alone.;Sarah Addison Allen; The Sugar Queen;philosophy
6097;The impatient idealist says: 'Give me a place to stand and I shall move the earth.' But such a place does not exist. We all have to stand on the earth itself and go with her at her pace.;Chinua Achebe; No Longer at Ease;philosophy
7661;Before this generation lose the wisdom, one advice - read books.;Amit Kalantri; Wealth of Words;philosophy
6995;To love is to communicate, and you can communicate only in truth. Speak the truth, and speak it with love.;Dragos Bratasanu; Ph.D.;philosophy
3614;I wish to continue reading.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
3597;Love opens the most impossible gates in the world.;Abhijit Naskar; The Education Decree;philosophy
10544;I believe despite my doubts, belief gives me power reason takes away;Bangambiki Habyarimana; Pearls Of Eternity;philosophy
5095;Hey, Jimmy.”“Yeah.”“You ever think about how long we’re going to live?”“No,” he says. “Not really.”“Well, why not?”“I dunno. Guess I’m too busy livin’ it to think about it.;Ryan Winfield; State of Nature;philosophy
9845;If you don’t choose what you want, someone make the choice for you.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
11921;Pick up a bee from kindness, and learn the limitations of kindness.;Idries Shah; Caravan of Dreams;philosophy
8796;Every morning is a sacred new breath.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;philosophy
8564;No God, no messiah, no prophet can grant your wishes – it is only through your own efforts that you can make your wishes come true – it is only you who can grant your own wishes.;Abhijit Naskar; Rowdy Buddha: The First Sapiens;philosophy
8823;The value of time lies in its brevity. To use it effectively, you must know its value.;Mensah Oteh; Unlocking Life's Treasure Chest: Wisdom keys to keep you inspired, encouraged, motivated and focused;philosophy
12463;Being is the greatest paradox of life in front of death.;Sorin Cerin; Wisdom Collection: The Book of Wisdom;philosophy
3605;The greatest obsession is I believe in myself.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
4892;Our lives are written by the divine hands of Him we are merely actors destined to complete the roles in the cosmic play. All that would make difference would be how well will you act!;Preeth Nambiar; The Voyage to Eternity;philosophy
1566;"So, you see; you have the soul of a missionary, the heart of a revolutionary and the mind of a reformer. But what are you to yourself and the family and friends who will always be there for you?";Janvier Chouteu-Chando; The Girl on the Trail;philosophy
7700;It is worth remembering one of the important lessons of the Buck story: a small number of zealous advocates can have an impact on the law that defies both science and conventional wisdom.;Paul A. Lombardo; Three Generations, No Imbeciles: Eugenics, the Supreme Court, and Buck v. Bell;philosophy
5792;Nonetheless, it still remains true that as a set of cognitive beliefs, religious doctrines constitute a speculative hypothesis of an extremely low order of probability.;Sidney Hook; The Quest for Being;philosophy
6320;... the earthly city glories in itself, the Heavenly City glories in the Lord.;Augustine of Hippo; City of God;philosophy
9231;No person is ever wrong in how they experience their reality.;Alaric Hutchinson; Living Peace;philosophy
1;Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.;Roy T. Bennett; The Light in the Heart;philosophy
2321;He did not waste time in a vain search for a place in history.;Dejan Stojanovic; The Sun Watches the Sun;philosophy
3049;The limitations in life do not necessary limit you.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;philosophy
5129;Sometimes careful just isn’t good enough.;A.B. Shepherd; Lifeboat;philosophy
9119;Peace never hurries. To rush or force is contradictory to the very essence of peace.;Alaric Hutchinson; Living Peace;philosophy
11725;I am a great mother.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
8964;God's grace is the power of life.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
10842;The bond of love is sacred spirituality.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
7248;Never play cards with a man called Doc. Never eat at a place called Mom's. Never sleep with a woman whose troubles are worse than your own.;Nelson Algren; A Walk on the Wild Side;philosophy
4127;You must explore the timeless opportunities in life.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
3331;The Word of God is a light on our path.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;philosophy
7123;"Is it so far from madness to wisdom?"" - Daenerys Targaryen";George R.R. Martin; A Game of Thrones;philosophy
8976;The state of no being knows neither pleasure nor pain.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
1595;A yesterday missed can never be found even in a fine tomorrow.;Janvier Chouteu-Chando; Flash of the Sun;philosophy
10262;Wisdom starts in humility.;Akemi G; Why We Are Born: Remembering Our Purpose through the Akashic Records;philosophy
725;You are not just for the right or left, but for what is right over the wrong.;Suzy Kassem; Rise Up and Salute the Sun: The Writings of Suzy Kassem;philosophy
6457;And what, you ask, does writing teach us? First and foremost, it reminds us that we are alive and that it is a gift and a privilege, not a right.;Ray Bradbury; Zen in the Art of Writing;philosophy
1122;Be in limits, life will never limit you.;M.H. Rakib; The Cavalier;philosophy
10850;Through forgiveness you can be free of the tragedies and pain in other people's failures.;Bryant McGill; Simple Reminders: Inspiration for Living Your Best Life;philosophy
1836;Politeness is the first thing people lose once they get the power.;Amit Kalantri; Wealth of Words;philosophy
6740;Every heart, it have its own ache.;Lynn Cullen; The Creation of Eve;philosophy
9436;The choice is to listen to the chaos your mind creates or the intuitive wisdom from the heart.;Steven Redhead; Unleash The Power of Your Heart and Mind;philosophy
7168;I don’t think man was meant to attain happiness so easily. Happiness is like those palaces in fairy tales whose gates are guarded by dragons: we must fight in order to conquer it.;Alexandre Dumas; The Count of Monte Cristo;philosophy
10231;"Sacred life;to sing,to praise, to worship, to pray, to study the Bible,to be grateful,to read,to write and to be kind to others.";Lailah Gifty Akita; Think Great: Be Great!;philosophy
10125;God determines the path of every man.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;philosophy
2817;The spirit awaken, the soul revive.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;philosophy
3137;If life throws you a few bad notes, don't let them interrupt your song.;Suzy Kassem; Rise Up and Salute the Sun: The Writings of Suzy Kassem;philosophy
11872;God's grace, mighty deeds.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
3474;Nobody can bring you a change. You have to want to change.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;philosophy
10982;An Asetian never tries to talk louder than the crowd surrounding him. An Asetian becomes that crowd.;Luis Marques; Asetian Bible;philosophy
11243;We're three women from two different centuries, trying to save the world from oblivion. I don't know about you, but that's way above my pay grade.;G.G. Collins; Atomic Medium;philosophy
3495;I do not think either virginity or old age contemptible, and some of the shrewdest minds I have met inhabited the bodies of old maids.;C.S. Lewis; The Problem of Pain;philosophy
9029;You soul is only satisfy with your soul-spirit, soul mate.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
8721;There are many fun things to do in life, but few that are more rewarding than committing to living the life of your dreams.;Stephen Richards; Ask and the Universe Will Provide: A Straightforward Guide to Manifesting Your Dreams;philosophy
10881;You must make time daily to care for your mental, physical, spiritual and emotional health.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
5097;May the ink of your thoughts never dry.;Joanie Schirm; My Dear Boy: The Journey of a Lifetime;philosophy
2531;No man's advice can change you unless you speak to yourself. Bible school or seminars can't change you, going to church can't change you except you decide to change.Psalm 139:23 - 24;Patience Johnson; Why Does an Orderly God Allow Disorder;philosophy
7728;The only thing set in stone are dumb quotes and names of dead people. Everything else is subject to change.;Kimberly Spencer; Oathbound;philosophy
260;There is no greater sorrow than to recall happiness in times of misery;Dante Alighieri; The Divine Comedy;philosophy
2509;No satan can unsettle what God has settled.;Patience Johnson; Why Does an Orderly God Allow Disorder;philosophy
4524;You can truly live if you can see yourself centuries after you have died. Just imagine it. What will people remember about you, how will your grave look like? How will your children live, etc.;Bangambiki Habyarimana; The Great Pearl of Wisdom;philosophy
7059;Wise? No, I simply learned to think.;Christopher Paolini; Eldest;philosophy
3793;Winning isn’t everything, but losing isn’t anything.;Charles M. Schulz; The Complete Peanuts, Vol. 9: 1967-1968;philosophy
7875;Failures make character, not success.;Abhijit Naskar; Human Making is Our Mission: A Treatise on Parenting;philosophy
5916;"When Nietszche says, ""A new commandment I give to you,be hard"" he is really saying, ""A new commandment I give to you, be dead."" Sensibility is the definition oflife.";G.K. Chesterton; Heretics;philosophy
3248;The only gift to yourself is your ability to seek knowledge.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;philosophy
7067;"A man is not called wise because he talks and talks again; but if he is peaceful, loving and fearless then he is in truth called wise.";Gautama Buddha; The Dhammapada: The Sayings of the Buddha;philosophy
7570;Wisdom must yield to superstition's rules,Who arms with bigot zeal the hand of fools.;Voltaire; Candide and The Maid of Orleans;philosophy
11937;Sufism is experience, and hence not to be defined – imprisoned – in perennial, static categories.;Idries Shah; Neglected Aspects of Sufi Study;philosophy
9045;Arise O lion-heart! Awake, O great soldier! Misery has come upon the world. It is wailing for help. It is wailing for redemption. Won’t you do anything, my friend!;Abhijit Naskar; We Are All Black: A Treatise on Racism;philosophy
3074;When you are stressed and challenged by hardships just smile through it as frowning won’t help in changing the situation;Abhysheq Shukla;" The Reflection ""Success or Stress""Choose Wisely";philosophy
5115;Life is about choices and chances. You make a choice and take a chance.;Truth Devour; Wantin;philosophy
3483;Philosophy may be blind without science, but science can lack vision without philosophy.;Scott O'Reilly; Socrates in Cyberspace: The Search for the Soul in the 21st Century;philosophy
10761;No matter what kind of sin you have committed, there is always forgiveness. You must repent and seek forgiveness. You can walk in the new life and light.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
9461;Fortune is a goddess that reveals herself only to people who seek her;Bangambiki Habyarimana; The Great Pearl of Wisdom;philosophy
11317;You don’t have to be faster than a bullet, you just need to be smarter than the man holding the gun.;Pauline Creeden; Raven;philosophy
10015;Never trust your colleagues. Work politics are founded by them.;Adhish Mazumder; Solemn Tales of Human Hearts;philosophy
11928;MAGHRIBI: Learning is in activity. Learning through words alone is minor activity.;Idries Shah; The Way of the Sufi;philosophy
4498;It takes all of our life to learn how to live, and – something that may surprise you more – it takes just as long to learn how to die.;Seneca; On the Shortness of Life;philosophy
8795;Dreams are sacred future events.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;philosophy
10130;Results speak for themselves while intentions often fall short of promises.;Mika Lo; wHow contributor;philosophy
196;Learned we may be with another man's learning: we can only be wise with wisdom of our own.;Michel de Montaigne; The Complete Essays;philosophy
4650;"We must experience Heaven on earth;May your homes, surroundings and work places portray a safe clean environment.";Lailah Gifty Akita; Think Great: Be Great!;philosophy
9327;Let love make your spirit grow.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;philosophy
6645;Pickpocket is a sink-or-swim profession, not something that can be taught in the comfort of your living room.;Martyn V. Halm; In Pocket;philosophy
824;L'étude du beau est un duel où l'artiste crie de frayeur avant d'être vaincu.;Charles Baudelaire; Petits Poemes En Prose;philosophy
882;True, life is complex. But so are a great many accidents.;Foz Meadows; The Key to Starveldt;philosophy
8289;You are never left out from the experience of love. You can always give and receive love right from where you're at. It's always up to you.;Renae A. Sauter; An Empowered Life: Mind/Body/Spirit Empowerment;philosophy
1923;Education makes your maths better, not necessarily your manners.;Amit Kalantri; Wealth of Words;philosophy
3651;You can find in a text whatever you bring, if you will stand between it and the mirror of your imagination. You may not see your ears, but they will be there.;Mark Twain; The Mysterious Stranger;philosophy
608;We may not yet know the right way to go, but we should at least stop going in the wrong direction.;Stefan Molyneux; Against The Gods?;philosophy
6084;If we possess narrative sympathy - enabling us to see the world from other's point of view - we cannot kill. If we do not, we cannot love.;Richard Kearney; On Stories;philosophy
177;I never found beauty in longing for the impossible and never found the possible to be beyond my reach.;Ayn Rand; Atlas Shrugged;philosophy
1465;Your own chosen paths can never be wrong. It is just the intensity of your curiosity in you which is pretty low.;Shivam Chaudhary; An Intellectual;philosophy
8442;Your nation needs you. Your world needs you. So, use your education to become endowed with muscles of iron and nerves of steel.;Abhijit Naskar; The Education Decree;philosophy
8524;Reject anything advice, which does not lead to your personal progress.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
12482;Brains will always conquer brawn, in the end. The soldiers can flex their muscles all they want, but the well-thought-out tactics of the generals are what win the war.;Patrick  Hall; Blades in the Dark: The Guardians of Siva;philosophy
1997;He who would know the world must first manufacture it.;Immanuel Kant; Opus Postumum;philosophy
7422;Read the dictionary from A to Izzard today.Get a vocabulary. Brush up on your diction.See whether wisdom is just a lot of language.;Carl Sandburg; Honey and Salt;philosophy
1230;Empiricism teaches that there is a real world of fixed things on the outside and that ideas of these outside things are stamped on the mind which is at the beginning of life a blank.;Holly Estil Cunningham; An Introduction to Philosophy;philosophy
518;Whether we like it or not, modern ways are going to alter and in part destroy traditional customs and values.;Werner Heisenberg; Physics and Philosophy: The Revolution in Modern Science;philosophy
12493;Without knowledge of self there is no knowledge of God. Nearly all the wisdom we possess, that is to say, true sound wisdom consists of two parts: the knowledge of God and of ourselves.;John Calvin; Institutes of the Christian Religion, 2 Vols;philosophy
4806;No point worrying about a storm until we smell rain;Suzanne Kelman; The Rejected Writers' Book Club;philosophy
11182;Charity: begins at home and remains there. When it goes out, it's because it wants to brag about itself;Bangambiki Habyarimana; The Great Pearl of Wisdom;philosophy
3163;A lie near to truth is always difficult to catch;Abhysheq Shukla;" KISS Life  ""Life is what you make it""";philosophy
9922;Dream high and exceed your expectations.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;philosophy
561;I grew up once, I decided never to do it again;Benny Bellamacina; The King of Rhyme;philosophy
912;Civilization is only possible for deeply unpleasant animals. It is only an ape that can be truly civilized.;Mark Rowlands; The Philosopher and the Wolf: Lessons from the Wild on Love, Death, and Happiness;philosophy
9727;Until I was left with nothing but life and books, I realised these two gracious gifts, where enough for me to exist.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
3806;All times are determined by God.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
684;In my opinion, our health care system has failed when a doctor fails to treat an illness that is treatable.;Kevin Alan Lee; The Split Mind: Schizophrenia from an Insider's Point of View;philosophy
170;Do you know what punishments I've endured for my crimes, my sins? None. I am proof of the absurdity of men's most treasured abstractions. A just universe wouldn't tolerate my existence.;Brent Weeks; The Way of Shadows;philosophy
3810;Overcome darkness, so that you may walk in the light.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;philosophy
9546;You must seek to thyself.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;philosophy
7525;"Knowledge & understanding mixed with ones convictions of 'experience' is hardly impositional"". ~R. Alan Woods [2012]";R. Alan Woods; The Journey Is The Destination: A Photo Journal;philosophy
8512;Lift yourself to great heights.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
9197;The most beautiful thing in the world is a heart that is changing.;Anasazi Foundation; The Seven Paths: Changing One's Way of Walking in the World;philosophy
8932;We can see the beauty of life, with positive focus.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
1776;Whenever someone is a threat to the enemy there will be an attack dispatched against that person to try to minimise their effectiveness.;Patience Johnson; Why Does an Orderly God Allow Disorder;philosophy
11154;The wise know their days are numbered and act accordingly.;Michael Hyatt; Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want;philosophy
10081;A good man can be destroyed by the association with men of evil character. A wise man can learn from them;Bangambiki Habyarimana; The Great Pearl of Wisdom;philosophy
9486;Comparison is waste of energy. Every individual is unique with unique talents. Find your passion and live your best life.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;philosophy
7393;Nothing in this world is difficult, but thinking makes it seem so. Where there is true will, there is always a way.;Wu Cheng'en; Monkey: A Journey to the West;philosophy
8841;Love: always inclusive, never divisive;Renae A. Sauter; An Empowered Life: Mind/Body/Spirit Empowerment;philosophy
11514;The person who learns to number his or her days gains a heart of wisdom (Ps. 90:12).;Colin S. Smith; Jonah: Navigating a God-Centered Life;philosophy
85;As I naturally go through a full range of emotions in my life, I mustn’t feel ashamed for feeling lost, for it is honest and human to feel such.;Forrest Curran; Purple Buddha Project: Purple Book of Self-Love;philosophy
2316;If you don't get the wrong people out of your life, you will never be able to get the right people in it!;Alex Haditaghi; Softly, As I Leave Her;philosophy
2066;First visualize your goal in your mind. Then have a leap of faith, and let your passion guide you throughout the process.;Abhijit Naskar; In Search of Divinity: Journey to The Kingdom of Conscience;philosophy
9566;Money cannot buy life.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;philosophy
7873;Keep in mind my friend, if an answer is not rational, then it is not an answer, but a delusion.;Abhijit Naskar; Human Making is Our Mission: A Treatise on Parenting;philosophy
6020;After all, the whole of humanity was anchored by inventions, contrivances, unrealities. Xiao Li lived on dreams, as most people do.;Victor Robert Lee; Performance Anomalies;philosophy
7973;"Emotions can become habits - she said haltingly as she wiped her eyes. But habits can be changed"".";Debbie Macomber; Twenty Wishes;philosophy
3710;What needs to be done will be done by grace.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
4033;Deception and self-deception are intimately intertwined. We fool ourselves in order to fool others, and we fool others in order to fool ourselves.;Clancy Martin; The Philosophy of Deception;philosophy
9777;Time' is the illusional domain occupied by the state of boredom. 'Space' is the infinite - reality - experienced by the state of higher creative consciousness. Choose wisely.;T.F. Hodge;" From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with ""The Divine Presence""";philosophy
11392;In a materialistic society, an employed boy is older than an unemployed man.;Mokokoma Mokhonoana; N for Nigger: Aphorisms for Grown Children and Childish Grown-ups;philosophy
1530;It will never be all that I want it to be…But it is always twice what I expected.;James Qualls; A Gathering of Dreams;philosophy
7715;Kingsley nodded. 'Of course. Sophia always did say wisdom had to be earned.;Melissa de la Cruz; The Van Alen Legacy;philosophy
11974;The line between spontaneity and stupidity can be very thin.;Martin Sheen; Along the Way: The Journey of a Father and Son;philosophy
12302;No matter how many snowstorms will pass through you, none will bring you the spring like love will.;Sorin Cerin; Wisdom Collection: The Book of Wisdom;philosophy
3776;I work with great gladness for what I want.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;philosophy
10899;Possibility is spiritual.;Lailah Gifty Akita; Pearls of  Wisdom: Great  mind;philosophy
10187;Dwell on positive thoughts!;Lailah Gifty Akita; Think Great: Be Great!;philosophy
9209;Love is always fresh as morning dew.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
10411;I nurture daily wellness.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
8038;If we feel good, we can keep going in the direction of the reality we’re creating. If we don’t feel good, we may reflect upon our beliefs and change them according to the reality we do wish to create.;Alaric Hutchinson; Living Peace;philosophy
11843;Staying in an unhealthy relationship can keep a person from finding their own way and moving to the next level of their own path — and that person could even be you.;Bryant McGill; Simple Reminders: Inspiration for Living Your Best Life;philosophy
4441;Through words to the meaning of thoughts with no words.;Dejan Stojanovic; The Sun Watches the Sun;philosophy
7906;Those with traditional sense will follow what their heart tells them is right.;Fennel Hudson; Traditional Angling - Fennel's Journal - No. 6;philosophy
8744;Creating abundance must start from within ourselves.;Stephen Richards; Ask and the Universe Will Provide: A Straightforward Guide to Manifesting Your Dreams;philosophy
11361;To understand the journey you have to do the walking.;Bryant McGill; Simple Reminders: Inspiration for Living Your Best Life;philosophy
9400;The sacred path leads to destiny destination.;Lailah Gifty Akita; Think Great: Be Great!;philosophy
2131;Every interaction is an opportunity to learn, Only if we are interested in improving rather than proving.;Abhysheq Shukla; Feelings Undefined: The Charm of the Unsaid;philosophy
3038;"Challenges are part of life;We weaken our spirit, when we act in fear and lose hope.But we strengthen our spirit, when we fearlessly with faith and hope, rise up to meet and conquer the challenges.";Lailah Gifty Akita; Think Great: Be Great!;philosophy
